date,dayofyear,active.calories,steps,weight,steps.lag,calorie.lag
11/25/2016,330,452,9.4,172.9,5.26,295
11/26/2016,331,547.1,13.06,171.6,9.4,452
11/27/2016,332,304.4,4.97,171.5,13.06,547.1
11/28/2016,333,576.7,11.85,171.1,4.97,304.4
11/30/2016,335,530.7,9.42,171.5,11.85,576.7
12/1/2016,336,586.2,11.15,172.2,9.42,530.7
12/2/2016,337,581.9,10.15,171.5,11.15,586.2
12/3/2016,338,510.4,8.54,172.1,10.15,581.9
12/4/2016,339,560.1,11.07,171.9,8.54,510.4
12/5/2016,340,518.1,9.12,172.4,11.07,560.1
12/7/2016,342,674.5,12.27,172.6,9.12,518.1
12/8/2016,343,526.5,10.39,173,12.27,674.5
12/9/2016,344,532.2,10.18,172.8,10.39,526.5
12/10/2016,345,1097.4,15.76,173,10.18,532.2
12/11/2016,346,557,10.79,171.7,15.76,1097.4
12/13/2016,348,560.5,11.46,174,10.79,557
12/14/2016,349,1056.6,15.03,172.9,11.46,560.5
12/15/2016,350,1106.6,15.4,172.5,15.03,1056.6
12/16/2016,351,559.6,11.93,172.5,15.4,1106.6
12/17/2016,352,416.9,8.21,172.6,11.93,559.6
12/18/2016,353,520.4,10.4,172.4,8.21,416.9
12/19/2016,354,1262.2,16.39,172.7,10.4,520.4
12/20/2016,355,1119.6,17.07,172.2,16.39,1262.2
12/21/2016,356,616.2,11.88,173.8,17.07,1119.6
12/22/2016,357,655.6,13.1,173.6,11.88,616.2
12/23/2016,358,414,8.7,174.8,13.1,655.6
12/24/2016,359,588.9,11.47,175.4,8.7,414
12/25/2016,360,418.6,8.31,174,11.47,588.9
12/26/2016,361,452.4,8.81,172.7,8.31,418.6
12/27/2016,362,506.9,8.85,174.7,8.81,452.4
12/28/2016,363,310.8,5.56,173.7,8.85,506.9
12/29/2016,364,370.6,5.42,175.4,5.56,310.8
12/30/2016,365,621.2,12.41,175.5,5.42,370.6
12/31/2016,366,379.9,6.21,175.9,12.41,621.2
1/1/2017,1,807.7,13.95,176.7,6.21,379.9
1/2/2017,2,765.9,12.32,176.9,13.95,807.7
1/3/2017,3,1061.5,14.74,175.8,12.32,765.9
1/4/2017,4,1094.2,15.48,177,14.74,1061.5
1/5/2017,5,1059.2,15.42,176.3,15.48,1094.2
1/6/2017,6,1154.3,17.26,175.4,15.42,1059.2
1/7/2017,7,812.2,12.02,178.1,17.26,1154.3
1/8/2017,8,969,13.67,174,12.02,812.2
1/9/2017,9,742.3,14.93,172.4,13.67,969
1/10/2017,10,1032.8,14.58,173,14.93,742.3
1/11/2017,11,1167.6,15.96,172.9,14.58,1032.8
1/12/2017,12,1020.3,14.71,170.8,15.96,1167.6
1/13/2017,13,1137.9,15.1,171.3,14.71,1020.3
1/14/2017,14,726.7,11.84,169.8,15.1,1137.9
1/15/2017,15,1196,16.81,171.8,11.84,726.7
